# Leader strategies for Civ VI AI Advisor
# Format: LEADER_ID | Name: Display Name | Focus: X/Y | Strat: Strategy text
# LEADER_ID must match Lua output (without LEADER_ prefix)

# America
HARDRADA_ALT | Name: Harald (Varangian) | Focus: City-States/Levy | Strat: LEVY WARFARE. 75% Discount on Levying City-States. Kills by levied units generate Faith/Science/Culture.

# Sweden
KRISTINA | Name: Kristina | Focus: Culture/Diplo | Strat: GREAT WORKS. Auto-theming of all Great Works. Build Queen's Bibliotheque in Gov Plaza. Focus heavily on Great People points.

# Mali
MANSA_MUSA | Name: Mansa Musa | Focus: Gold/Faith | Strat: BUY EVERYTHING. -30% Production toward units/buildings. Settle Desert for Faith/Food. Use massive Gold/Faith income to buy your empire.
SUNDIATA_KEITA | Name: Sundiata Keita | Focus: Great Works/Gold | Strat: LION KING. Markets hold Great Works of Writing. Writing gives Gold/Production. Recruit Great Writers with gold.

# Inca
PACHACUTI | Name: Pachacuti | Focus: Food/Production | Strat: MOUNTAIN KING. Work mountain tiles. Build Terrace Farms everywhere. Use "Qhapaq Nan" to move through mountains. Massive population growth.

# Ottoman
SULEIMAN | Name: Suleiman (Kanuni) | Focus: Domination/Siege | Strat: JANISSARY RUSH. Use Governor Ibrahim to secure alliances or buff offense. Siege units thrive. Unique Unit: Janissary (build in captured cities to avoid pop loss).
SULEIMAN_ALT | Name: Suleiman (Magnificent) | Focus: Golden Ages | Strat: GOLDEN AGE WAR. +15% Science/Culture in Golden Ages. +4 Combat Str outside them. Manage Era Score carefully to chain Golden Ages.

# Phoenicia
DIDO | Name: Dido | Focus: Naval/Settling | Strat: COASTAL SPAM. Move Capital project unlocks loyalty immunity. Settle nearly every coastal tile. Cothon district allows rapid naval production.

# Maori
KUPE | Name: Kupe | Focus: Culture/Nature | Strat: OCEAN START. Settle late (Turn 3-5) for free pop/culture. Do NOT remove Woods/Rainforest/Marsh (yield bonuses). Cultural victory via nature.

# Hungary
MATTHIAS_CORVINUS | Name: Matthias Corvinus | Focus: Domination/Levy | Strat: RAVEN KING. Levied units get +2 Move/+5 Str. Upgrade levied units for free. Chain levy City-States to dominate neighbors.

# Canada
LAURIER | Name: Wilfrid Laurier | Focus: Diplo/Culture | Strat: TUNDRA EMPIRE. Buy Tundra tiles cheap. Build Farms/Mines on Tundra. 100% Diplo Favor from Emergencies. Aim for Diplomatic Victory.

# Kongo
NZINGA_MBANDE | Name: Nzinga Mbande | Focus: Yields/Isolation | Strat: HOME CONTINENT. +10% Yields to cities on home continent. -15% on foreign. Stay tall and compact on your starting landmass.
MVEMBA | Name: Mvemba a Nzinga | Focus: Relics/Culture | Strat: RELIC HUNTER. Cannot found religion but benefits from others. Apostles give Relics. +50% Great Writer/Artist/Musician points.

# Arabia
SALADIN | Name: Saladin (Vizier) | Focus: Religion/Science | Strat: RELIGIOUS SCIENCE. Guaranteed Prophet. Madrasa building gives Science equal to Faith adjacency.
SALADIN_ALT | Name: Sultan Saladin | Focus: Combat | Strat: FLANKING BONUSES. +100% Flanking/Support bonus. Be aggressive with units. Religion serves the army.

# Japan
TOKUGAWA | Name: Tokugawa | Focus: Internal Trade | Strat: ISOLATIONIST. International trade is weak. Internal trade gives Science/Culture/Gold. Clusters of cities (6 tiles from capital) get amenities.
HOJO | Name: Hojo Tokimune | Focus: Divine Wind | Strat: DISTRICT MASTER. All districts get +1 adjacency from each other. Build compact cities. Strong defensive bonus (Divine Wind) on coast.

# Persia
NADER_SHAH | Name: Nader Shah | Focus: Domination | Strat: MOMENTUM. +5 Combat Str attacking full health units. Internal trade routes give Faith/Gold. Keep the offensive momentum high.
CYRUS | Name: Cyrus | Focus: Surprise Wars | Strat: BLITZ WARFARE. +2 Movement for 10 turns after declaring Surprise War. No warmonger penalties for Surprise Wars. Strike fast and often.

# China
YONGLE | Name: Yongle | Focus: Population/Projects | Strat: LIJIA PROJECTS. At 10 Pop, Gold/Science/Culture explodes. Use "Lijia" projects to convert production directly to Faith/Food/Gold when needed.
QIN_SHI_HUANG | Name: Qin Shi Huang (Mandate) | Focus: Wonders | Strat: WONDER BUILDER. Builders can spend charge to rush Ancient/Classical wonders. Build Great Wall for defense and gold.
QIN_SHI_HUANG_UNIFIER | Name: Qin Shi Huang (Unifier) | Focus: Barbarians | Strat: BARB CLANS. Melee units have "Convert Barbarian" charge. Do not kill barbs; farm them for a free army.
WU_ZETIAN | Name: Wu Zetian | Focus: Spies | Strat: EARLY ESPIONAGE. Free Spy at Defensive Tactics. Spies operate at 1 level higher. Use spies to disrupt neighbors early.
KUBLAI_KHAN_CHINA | Name: Kublai Khan (China) | Focus: Trade/Eurekas | Strat: TRADE SCIENCE. +1 Econ policy slot. Trading Posts trigger Eureka/Inspiration. Spread trade routes wide for boosts.

# Mongolia
KUBLAI_KHAN_MONGOLIA | Name: Kublai Khan (Mongolia) | Focus: Trade/Cavalry | Strat: SILK ROAD WARRIOR. Trade routes establish Trading Posts for combat bonus. Cavalry domination with trade network support.
GENGHIS_KHAN | Name: Genghis Khan | Focus: Cavalry/Domination | Strat: HORSE LORD. +3 Combat Str per level of Diplo Visibility. Capturing cavalry heals them. Build Ordu for fast cavalry production.

# Egypt
RAMSES | Name: Ramses II | Focus: Culture/Building | Strat: BUILDING BOOM. Gain Culture equal to 15-30% of construction costs. Spam buildings and Wonders to fly through Civics tree.
CLEOPATRA | Name: Cleopatra (Egyptian) | Focus: Trade/Alliances | Strat: TRADE BAIT. Internal trade gives food; external gives gold. Alliances yield extra points.
CLEOPATRA_ALT | Name: Ptolemaic Cleopatra | Focus: Floodplains | Strat: NILE FARMING. Floodplains give +1 Food/Culture. Appeal is High on floodplains. Culture victory via high-appeal synergy.

# Byzantium
THEODORA | Name: Theodora | Focus: Faith/Culture | Strat: HOLY CULTURE. Holy Sites give Culture equal to adjacency. Farms boost Hippodromes. Rush Religion -> Divine Right for knight spam.
BASIL | Name: Basil II | Focus: Religion/War | Strat: CRUSADER. Heavy/Light Cavalry do full damage to cities following your religion. Spread religion then conquer.

# Korea
SEJONG | Name: Sejong | Focus: Science | Strat: TECH SPIKE. +Culture equal to double Science when unlocking new Era tech. Focus on high science output to trigger massive culture bursts.
SEONDEOK | Name: Seondeok | Focus: Science | Strat: SEOWON SCIENCE. Build Seowon campus alone (no adjacent districts). Governors give +3% Science/Culture. Pure science victory path.

# Germany
LUDWIG | Name: Ludwig II | Focus: Culture/Wonders | Strat: WONDER TOURISM. Wonders give Tourism to adjacent districts. Place Wonders *between* districts (Hansa/Theater), not isolated.
FREDERICK_BARBAROSSA | Name: Frederick Barbarossa | Focus: Production | Strat: HANSA POWER. +7 Combat Str vs City-States. Extra Military policy slot. Hansa Industrial Zones with Commercial Hub adjacency.

# Rome
JULIUS_CAESAR | Name: Julius Caesar | Focus: Gold/Domination | Strat: VENI VIDI VICI. +200 Gold when conquering a city (scales with speed). Farm Barbarian camps for Gold. Constant war for income.
TRAJAN | Name: Trajan | Focus: Expansion | Strat: FREE MONUMENTS. All cities start with a Monument. Settle wide and fast. Build Legions to chop forests and build roads.

# Greece
PERICLES | Name: Pericles | Focus: Culture/City-States | Strat: ENVOY FARMING. +5% Culture per City-State you are Suzerain of. Focus purely on Diplomatic policy cards and Envoys.
GORGO | Name: Gorgo | Focus: War/Culture | Strat: SPARTAN CULTURE. Gain Culture from killing units (50% of Strength). Never make peace. War is your source of culture.

# Scythia
TOMYRIS | Name: Tomyris | Focus: Cavalry/Healing | Strat: KILLER QUEEN. Units heal 30HP when killing. Light Cavalry are cheap. Swarm and heal. Never stop attacking.

# Russia
PETER | Name: Peter the Great | Focus: Culture/Science | Strat: GRAND EMBASSY. Trade routes to more advanced civs give Science/Culture. Be friendly, trade widely, absorb knowledge.

# Spain
PHILIP | Name: Philip II | Focus: Religion/Domination | Strat: INQUISITOR KING. Missionaries and Inquisitors work faster. Combat bonus vs different religions. Religious domination victory.

# Aztec
MONTEZUMA | Name: Montezuma | Focus: Domination/Luxuries | Strat: LUXURY WAR. +1 Combat Str per luxury. Eagle Warriors capture enemies as Builders. Constant early aggression for workers.

# Brazil
PEDRO | Name: Pedro II | Focus: Great People | Strat: CARNIVAL CULTURE. Great People refund 20% points. Recruit as many Great People as possible. Street Carnival for amenities.

# India
GANDHI | Name: Gandhi | Focus: Faith/Peace | Strat: PEACEFUL FAITH. +5 Faith per civ at peace with you. Religious buildings give amenities. Spread religion peacefully.
CHANDRAGUPTA | Name: Chandragupta | Focus: War of Territorial Expansion | Strat: ARTHASHASTRA. Declare War of Territorial Expansion for +2 Movement/+5 Combat Str for 10 turns. Strike hard and fast.

# Australia
JOHN_CURTIN | Name: John Curtin | Focus: Defense/Production | Strat: CITADEL OF CIVILIZATION. +100% Production for 10 turns when war declared on you. Bait attacks, then counter-build.

# Sumeria
GILGAMESH | Name: Gilgamesh | Focus: Early War/Allies | Strat: WAR CART RUSH. War Carts available immediately. Share pillage rewards with allies. Early aggression with friendship.

# Cree
POUNDMAKER | Name: Poundmaker | Focus: Trade/Alliances | Strat: TRADE BUILDER. Free Trader with Pottery. Camps and Pastures give shared visibility. Trade-based expansion.

# Indonesia
GITARJA | Name: Gitarja | Focus: Naval/Faith | Strat: ISLAND FAITH. Buy naval units with Faith. Coastal cities get Faith adjacency. Island empire with religious navy.

# Khmer
JAYAVARMAN | Name: Jayavarman VII | Focus: Faith/Population | Strat: HOLY FARMS. Farms give Faith near Aqueducts. Build tall religious cities with massive populations.

# Macedon
ALEXANDER | Name: Alexander | Focus: Domination | Strat: WORLD CONQUEROR. No war weariness. Cities never raze. Capture entire civilizations. Science from kills. Never stop conquering.

# Netherlands
WILHELMINA | Name: Wilhelmina | Focus: Trade/Coast | Strat: POLDER POWER. Build Polders on coast. Rivers give major adjacency. Trade hub of the world.

# Georgia
TAMAR | Name: Tamar | Focus: Faith/Walls | Strat: GOLDEN FAITH. +100% Faith in Golden Ages. Walls give Faith. Chain Golden Ages for religious victory.

# Scotland
ROBERT_BRUCE | Name: Robert the Bruce | Focus: Science/Production | Strat: HAPPY SCIENCE. +5% Science/Production in Happy cities. +10% in Ecstatic. Keep amenities high.

# Zulu
SHAKA | Name: Shaka | Focus: Domination | Strat: IMPI RUSH. Corps and Armies earlier. Encampments give XP. Train elite units and overwhelm with corps.

# Mapuche
LAUTARO | Name: Lautaro | Focus: Loyalty/Combat | Strat: LOYALTY WARFARE. Kills reduce enemy city loyalty. Malon Raiders pillage without movement. Flip cities through combat.

# Poland
JADWIGA | Name: Jadwiga | Focus: Religion/Culture | Strat: RELIQUARY. Relics are triple strength. Fort conversion spreads religion. Culture bomb with Holy Sites.

# Nubia
AMANITORE | Name: Amanitore | Focus: Ranged/Pyramids | Strat: ARCHER QUEEN. +50% Production toward ranged. Nubian Pyramids boost everything. Ranged unit spam with pyramid support.

# Vietnam
BA_TRIEU | Name: Ba Trieu | Focus: Defense/Features | Strat: GUERRILLA. +5 Combat Str in Woods/Rainforest/Marsh. Do NOT remove features. Defend in forests.

# Gaul
AMBIORIX | Name: Ambiorix | Focus: Combat/Culture | Strat: WARRIOR CULTURE. +2 Culture per specialty district. Oppidum Industrial Zone. Combat adjacent units get bonus.

# Ethiopia
MENELIK | Name: Menelik II | Focus: Faith/Hills | Strat: MOUNTAIN FAITH. +4 Combat Str on Hills. Rock-Hewn Churches give Faith. Hills are key terrain.

# Maya
LADY_SIX_SKY | Name: Lady Six Sky | Focus: Science/Tall | Strat: CAPITAL CLUSTER. +10% yields to cities within 6 tiles of Capital. -15% beyond. Stay compact around capital.

# Gran Colombia
SIMON_BOLIVAR | Name: Simon Bolivar | Focus: Domination/Speed | Strat: COMANDANTE GENERAL. +1 Movement to all units. Earn Comandante Generals for army buffs. Mobile warfare.

# Portugal
JOAO | Name: Joao III | Focus: Naval/Trade | Strat: MARITIME TRADE. International Trade Routes must be over water. +50% yields to coastal trade. Naval trade empire.

# Babylon (duplicate check)
# HAMMURABI already listed above
